,Unnamed: 0,Season,Game_ID,PLAYER_NAME,Team,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
474205,634402,1988,28800150,Michael Jordan,CHI,"NOV 29, 1988",CHI @ GOS,L,43,11,24.0,0.458,0.0,1.0,0.0,4,4.0,1.0,2.0,8.0,10.0,7.0,4.0,0.0,3.0,3.0,26,,0
474206,634401,1988,28800160,Michael Jordan,CHI,"NOV 30, 1988",CHI @ UTH,L,39,11,25.0,0.44,0.0,1.0,0.0,11,13.0,0.846,4.0,4.0,8.0,5.0,2.0,1.0,3.0,1.0,33,,0
474207,634400,1988,28800181,Michael Jordan,CHI,"DEC 03, 1988",CHI @ DAL,W,43,16,31.0,0.516,0.0,0.0,0.0,7,8.0,0.875,3.0,8.0,11.0,6.0,2.0,3.0,2.0,5.0,39,,0
474208,634399,1988,28800199,Michael Jordan,CHI,"DEC 06, 1988",CHI vs. BOS,W,43,14,20.0,0.7,0.0,0.0,0.0,10,11.0,0.909,2.0,7.0,9.0,5.0,5.0,0.0,6.0,4.0,38,,0
474209,634398,1988,28800204,Michael Jordan,CHI,"DEC 07, 1988",CHI @ DET,L,40,4,16.0,0.25,0.0,0.0,0.0,10,11.0,0.909,3.0,4.0,7.0,7.0,1.0,2.0,3.0,1.0,18,,0
474210,634397,1988,28800216,Michael Jordan,CHI,"DEC 09, 1988",CHI vs. MIL,W,40,10,17.0,0.588,0.0,2.0,0.0,15,17.0,0.882,3.0,8.0,11.0,5.0,1.0,1.0,5.0,3.0,35,,0
474211,634396,1988,28800228,Michael Jordan,CHI,"DEC 10, 1988",CHI vs. MIA,W,37,14,25.0,0.56,1.0,2.0,0.5,9,10.0,0.9,2.0,9.0,11.0,4.0,2.0,0.0,1.0,3.0,38,,0
474212,634394,1988,28800260,Michael Jordan,CHI,"DEC 16, 1988",CHI vs. IND,W,38,10,22.0,0.455,0.0,3.0,0.0,8,9.0,0.889,3.0,4.0,7.0,7.0,6.0,0.0,2.0,4.0,28,,0
474213,634393,1988,28800272,Michael Jordan,CHI,"DEC 17, 1988",CHI @ MIL,W,40,12,25.0,0.48,0.0,1.0,0.0,12,12.0,1.0,0.0,6.0,6.0,5.0,3.0,0.0,3.0,2.0,36,,0
474214,634392,1988,28800277,Michael Jordan,CHI,"DEC 20, 1988",CHI vs. LAL,W,39,11,23.0,0.478,2.0,3.0,0.667,18,22.0,0.818,4.0,3.0,7.0,8.0,4.0,0.0,1.0,0.0,42,,0
474215,634391,1988,28800298,Michael Jordan,CHI,"DEC 23, 1988",CHI @ CHH,L,41,14,26.0,0.538,0.0,0.0,0.0,5,6.0,0.833,2.0,3.0,5.0,4.0,6.0,0.0,7.0,5.0,33,,0
474216,634390,1988,28800317,Michael Jordan,CHI,"DEC 27, 1988",CHI vs. CLE,L,42,18,30.0,0.6,1.0,1.0,1.0,6,6.0,1.0,3.0,9.0,12.0,4.0,3.0,0.0,4.0,3.0,43,,0
474217,634389,1988,28800327,Michael Jordan,CHI,"DEC 29, 1988",CHI vs. NYK,W,40,14,27.0,0.519,0.0,2.0,0.0,9,12.0,0.75,1.0,8.0,9.0,3.0,3.0,0.0,3.0,2.0,37,,0
474218,634410,1988,28800046,Michael Jordan,CHI,"NOV 11, 1988",CHI vs. NJN,W,41,14,24.0,0.583,0.0,1.0,0.0,8,11.0,0.727,1.0,5.0,6.0,3.0,3.0,4.0,6.0,2.0,36,,0
474219,634395,1988,28800240,Michael Jordan,CHI,"DEC 13, 1988",CHI vs. ATL,L,41,11,24.0,0.458,0.0,1.0,0.0,6,6.0,1.0,2.0,12.0,14.0,6.0,2.0,0.0,1.0,3.0,28,,0
474220,634426,1988,28700803,Michael Jordan,CHI,"APR 01, 1988",CHI @ POR,W,42,13,30.0,0.433,1.0,2.0,0.5,11,13.0,0.846,4.0,7.0,11.0,7.0,3.0,0.0,3.0,5.0,38,,0
474221,634424,1988,28700821,Michael Jordan,CHI,"APR 05, 1988",CHI vs. WAS,L,42,12,20.0,0.6,0.0,1.0,0.0,5,8.0,0.625,1.0,2.0,3.0,1.0,4.0,2.0,6.0,4.0,29,,0
474222,634427,1988,28700793,Michael Jordan,CHI,"MAR 30, 1988",CHI @ LAC,W,34,15,25.0,0.6,0.0,0.0,0.0,6,6.0,1.0,2.0,4.0,6.0,4.0,6.0,0.0,2.0,3.0,36,,0
